#{"t_start": 1713858299.690752, "env_id": null}
r,l,t
11400,6801,13.481129
1500,3301,15.648202
3200,4108,18.267446
1000,3711,20.5711
4800,6032,24.503927
26000,5160,27.781432
1000,3031,29.73199
13400,6126,33.693024
16800,6355,37.728069
1800,3434,39.897504
11400,7822,75.584952
4900,4534,102.130193
3800,2879,119.005208
52400,12128,192.160565
4300,5335,226.409401
3100,3559,248.698907
20000,8575,303.553234
11200,5288,337.638189
2300,3496,360.422739
15000,5654,397.187437
3200,4721,427.946999
31600,12295,507.69931
12800,6845,552.365585
13100,6908,597.661283
29600,20318,729.444673
5200,4920,761.668412
2800,4107,788.346642
22600,8333,842.480269
3300,4429,871.298022
3200,6532,913.606114
3900,4656,943.272021
15400,6351,983.671514
18600,6501,1024.835621
2600,4868,1055.648442
3800,5285,1089.100475
2400,4203,1115.602765
61500,13808,1203.0437
13000,6731,1245.419081
3500,3880,1270.022168
14700,6265,1309.535528
4600,4654,1339.012172
3500,5448,1373.487783
24200,6993,1417.751873
3200,3880,1442.247109
18500,7936,1492.298795
35100,16022,1593.682543
33800,11974,1669.180557
2000,4616,1698.310311
4100,6298,1738.012669
2700,3573,1760.660009
3300,4451,1788.813797
12200,6608,1830.565052
3900,3682,1853.90395
11600,5902,1891.355034
22100,7174,1936.620115
24100,7178,1982.083148
47000,11735,2056.372897
4000,5171,2089.075692
17600,5507,2123.760355
5100,5002,2155.397512
5200,4966,2186.592346
4200,4026,2212.105531
11500,7537,2259.599232
6900,7267,2305.561605
25900,13915,2394.374444
3200,6390,2434.670022
1600,3878,2459.221267
3900,4082,2484.967998
1900,4849,2515.492568
15700,6879,2559.076443
3400,4309,2586.35348
1400,3974,2611.416686
2600,6010,2649.49544
2800,5376,2683.498705
2100,4397,2711.332612
13700,5392,2745.335742
42800,9453,2805.190737
3300,4185,2831.582966
5600,5010,2863.346429
3600,4516,2891.915979
13300,8418,2945.220584
17400,5251,2978.459429
2900,3850,3002.821119
4300,5000,3034.480747
12700,8871,3090.633632
32500,11350,3162.491342
2200,5744,3198.780447
33700,14275,3289.423961
4300,5702,3325.542653
3700,4276,3352.735042
3000,4355,3380.218393
22600,5961,3417.951115
38800,18148,3532.888767
4200,3881,3557.341693
3700,5622,3592.955878
66100,14803,3686.476084
3400,4474,3714.822325
3100,5327,3748.551955
15300,5591,3783.848433
1100,4122,3809.834841
9400,8077,3860.990821
12700,5507,3895.72726
4000,5210,3928.709564
10500,5783,3965.228624
4900,5811,4002.053684
14100,4928,4033.169253
16800,7842,4082.834827
200,2978,4101.71262
4500,3989,4127.030481
21500,6474,4167.94229
2600,4344,4195.369764
2000,5535,4230.439521
3200,4513,4258.938737
3700,5005,4290.632947
3800,5884,4327.830587
46100,10824,4396.371809
2300,3856,4420.801535
200,3369,4442.110849
24700,6805,4485.124046
74900,17230,4594.156964
4200,3383,4615.633074
3600,4232,4642.432493
5200,4998,4674.106538
2900,4845,4704.67955
3900,3612,4727.439744
4500,5480,4762.149295
16100,6016,4800.329182
3700,4545,4829.063605
22900,6276,4868.716524
21000,6411,4909.218295
15900,8572,4963.407225
4400,5315,4997.091782
2700,3439,5018.840758
24800,7180,5064.222828
14800,6268,5103.860183
18100,6049,5142.046109
13900,6091,5180.640633
3000,4763,5210.70527
10200,6413,5251.376364
4800,5841,5288.335962
3600,3799,5312.391002
1300,3337,5333.468642
17200,6602,5375.269451
1600,4317,5402.606804
23700,6022,5440.707756
11000,5477,5475.515878
17700,4760,5505.723875
11800,6919,5549.429628
1200,3837,5573.772374
91100,34020,5788.969767
2900,6660,5831.120078
14300,7768,5880.310297
2200,4637,5909.668608
1600,3737,5933.447003
4400,4992,5965.037608
19000,8318,6017.700411
1000,3582,6040.307536
1900,2668,6057.174819
