#{"t_start": 1714320238.2946815, "env_id": null}
r,l,t
36300,9065,18.6842
33300,8350,26.131548
36800,10587,35.563674
48800,6988,41.764846
31200,8759,49.77191
32600,10733,363.01556
30800,12188,1237.577071
24600,9728,2185.473227
5100,5449,2568.935005
15300,11579,3374.989993
27800,8462,3966.96043
36600,10579,4706.210405
25900,8707,5311.619287
45400,10017,6013.325898
35700,8983,6660.825512
33600,8149,7259.605643
32100,8731,7897.077947
39300,8270,8508.210844
31200,11252,9340.966879
43200,8446,9964.883555
5100,6349,10434.350137
39100,8171,11042.514772
4200,5941,11514.121445
2300,5947,11943.547526
25500,9377,12656.427054
18700,12400,13687.852375
18500,11460,14607.017554
7600,8881,15308.878624
20200,12481,16277.979049
13400,9292,17006.762286
3300,6204,17491.701766
22400,12569,18551.805797
2000,5363,19018.90152
27200,10021,19769.595884
12200,9388,20508.237714
