#{"t_start": 1713943950.229056, "env_id": null}
r,l,t
78500,11951,20.761976
122100,15836,32.099399
102400,19465,45.881743
39200,10329,93.502843
3100,6446,133.452381
37200,13062,215.758791
52600,11611,292.102475
8700,9243,362.205394
4200,5747,405.716448
41900,14937,514.599276
34000,11918,600.973959
61400,11836,687.575463
35900,12038,776.03807
13800,9169,866.758487
48700,11837,1066.38443
26600,12172,1260.690672
2200,4673,1332.995075
22800,10038,1599.054965
47600,16366,1713.839515
35100,9746,1781.246611
10300,9748,1851.690113
18500,9837,1924.276018
34500,11600,2012.256981
13900,8811,2082.166799
11000,11634,2171.971336
3200,7264,2226.20834
1500,5218,2270.711244
17900,10588,2358.291003
2100,7092,2417.957998
3800,6661,2473.388714
11700,9273,2549.824193
53800,9265,2669.626474
2600,5328,2757.83638
2800,8413,2892.692128
2600,8718,3034.161587
3000,8798,3176.286171
18400,13648,3397.094396
11900,8648,3537.84213
39300,15330,3734.169927
28800,12322,3830.211843
31400,11713,3914.254264
2100,5897,3956.533174
28100,12976,4049.663291
2700,6684,4099.384927
3500,7786,4160.203499
38200,18667,4301.651951
3100,6088,4346.208175
1600,6415,4392.849604
16000,8362,4452.469091
2000,5490,4491.541301
4300,6644,4539.19498
37400,15354,4649.210627
17600,9696,4717.855731
3200,6539,4764.346954
3300,6805,4812.716151
3300,6184,4857.400558
31700,7468,4911.222051
1700,4476,4943.014023
2500,5414,4981.761599
48700,16061,5095.639749
13800,7242,5148.688179
3300,6392,5198.212451
1500,6376,5246.962793
3900,6106,5293.177013
36500,18105,5429.869262
3500,6101,5473.400515
48200,17334,5597.562477
23300,7674,5652.194744
800,5889,5694.174763
3000,5508,5733.474387
4000,7252,5785.43654
38600,11861,5871.611354
2800,5924,5914.326319
33200,9043,5978.705313
18700,9627,6048.017104
16300,9555,6116.339399
2000,6596,6163.511103
49700,17587,6290.132818
8000,8940,6354.035948
16100,10174,6426.096896
2200,6314,6471.018349
14800,8701,6532.971381
1900,4433,6564.662611
21100,7126,6615.560833
14100,9694,6685.066815
3500,6213,6729.392778
2900,5233,6766.178139
11500,20200,6899.88585
2800,6492,6942.834704
26000,15014,7043.825408
2100,7272,7092.39511
26000,13547,7181.302841
10900,9927,7246.727455
11100,11295,7321.496256
37200,13716,7411.802087
15900,8569,7467.619136
12200,10001,7532.896457
1500,5118,7566.409966
20900,9597,7628.877645
16200,8578,7684.34249
5300,5681,7720.555654
21500,14642,7814.062937
19700,14240,7908.788901
