#{"t_start": 1713565132.799294, "env_id": null}
r,l,t
11800,10126,168.709052
33600,14577,238.076984
33200,12821,298.908903
59600,13352,359.814316
31600,15077,426.036774
29500,10182,473.071018
4300,4897,492.845211
39400,14883,558.315948
45400,12317,616.662412
25600,12446,670.236653
48300,11980,726.992769
28700,6637,751.917451
45100,8263,793.328733
49800,11923,845.462198
32000,7426,878.729685
54900,8281,914.860936
71200,11293,969.084854
46300,8285,1004.760164
86400,14553,1068.198294
95100,30025,1198.841082
31300,9851,1244.772976
4900,5074,1264.337827
27400,6720,1293.515592
5500,5753,1320.884928
37900,11461,1372.834159
3700,6739,1402.653037
24800,6056,1431.509385
47600,10376,1477.136914
41600,11066,1524.554228
40200,9340,1561.77703
32100,12245,1619.230616
51400,9776,1657.134118
34300,13976,1724.387288
43200,11208,1777.070272
36300,10687,1826.645508
14700,7631,1866.355999
5100,5600,1886.768991
38800,9316,1930.332297
69300,11386,1981.596358
19600,9631,2026.820749
72200,8852,2063.739521
5000,6308,2093.677309
51400,9801,2139.379083
23600,14166,2213.245758
5200,4102,2231.466076
4200,6520,2255.541157
13500,8002,2296.614174
23400,7724,2329.780528
45400,8057,2364.610655
33100,9015,2408.33575
5000,4175,2424.937678
4300,6184,2452.924187
2300,4579,2471.657958
4500,5553,2492.625026
11000,10185,2537.807206
3200,6115,2566.730269
4300,5588,2587.574064
2200,4656,2611.472499
3200,4752,2629.63056
3800,5305,2655.172631
3400,5609,2676.296983
3800,6145,2705.771355
2600,4916,2724.549098
4300,6672,2753.302648
2900,5297,2779.257065
3800,5140,2798.022036
2900,6188,2825.149007
3100,4868,2845.749329
3600,5737,2876.342147
17000,8859,2911.080464
3800,5653,2935.912472
3000,4645,2953.846855
3300,5615,2981.112253
2300,5102,3002.172128
1800,5724,3029.547022
11300,7860,3063.005616
6600,7108,3094.182674
1600,4476,3112.402248
3200,5135,3132.312703
2200,6453,3161.772409
19300,9283,3204.540566
1600,5824,3226.035259
3500,5050,3251.867432
2800,6088,3280.522755
4200,5657,3303.382985
3500,5651,3332.198802
1900,5175,3355.775061
4400,5809,3389.645391
14700,9923,3432.848577
3800,6779,3458.653149
3900,6418,3488.29546
2300,5325,3516.536017
4800,6526,3547.887887
5200,6028,3569.307023
2000,5642,3596.65325
3800,5238,3615.970822
2000,4661,3649.435043
2500,6725,3701.433192
900,6005,3762.406503
3200,6551,3793.525388
1300,5254,3815.198665
1000,5657,3859.779448
13800,9222,3942.8051
2900,4233,3961.994419
1900,5580,3982.932549
18000,6265,4013.379371
4200,6040,4042.962803
2200,7118,4074.346134
3400,7330,4108.977292
21300,9373,4150.101088
2300,5407,4175.98892
2300,5254,4195.533383
3500,5479,4221.341661
3200,5430,4245.051301
2300,4920,4270.877207
3100,6121,4295.118804
5300,7026,4327.003471
15100,9227,4370.337394
2300,4670,4389.26671
2900,5157,4416.525539
2000,5838,4438.372155
3200,6234,4468.774052
3800,6252,4500.947296
3000,4747,4520.686062
2800,6173,4550.996408
4400,6289,4582.111205
6100,6586,4613.597885
2000,5799,4637.075202
3200,6493,4667.011283
2600,6063,4696.725433
2300,4610,4716.214519
4100,5337,4737.202406
17500,6291,5256.71277
17500,6291,5290.965271
17500,6291,5314.901316
17500,6291,5339.489463
17500,6291,5364.078298
17500,6291,5388.936312
20300,6754,5520.136916
1600,6859,5663.256963
1600,6859,5693.454428
1600,6859,5720.838529
1600,6859,5748.500198
1600,6859,5776.623746
3900,5463,5869.80418
3200,5746,6256.961652
3200,5746,6280.635948
3200,5746,6303.936595
3200,5746,6326.659434
3200,5746,6348.98091
